"ID","session","trial","condition","correct"
"1","1",1,"1",1
"1","1",2,"2",0.666666666666667
"1","1",3,"5",0.777777777777778
"1","1",4,"3",1
"1","1",5,"4",1
"1","1",6,"5",0.666666666666667
"1","1",7,"4",0.777777777777778
"1","1",8,"1",1
"1","1",9,"3",0.777777777777778
"1","1",10,"2",1
"1","1",11,"4",1
"1","1",12,"1",1
"1","1",13,"5",0.666666666666667
"1","1",14,"2",1
"1","1",15,"3",0.666666666666667
"1","1",16,"4",0.777777777777778
"1","1",17,"5",1
"1","1",18,"2",0.777777777777778
"1","1",19,"1",1
"1","1",20,"3",0.666666666666667
"1","1",21,"2",1
"1","1",22,"1",0.777777777777778
"1","1",23,"4",0.666666666666667
"1","1",24,"3",1
"1","1",25,"5",0.777777777777778
"1","1",26,"3",1
"1","1",27,"5",0.666666666666667
"1","1",28,"4",0.777777777777778
"1","1",29,"2",0.777777777777778
"1","1",30,"1",0.555555555555556
"2","1",1,"3",0.777777777777778
"2","1",2,"2",0.555555555555556
"2","1",3,"4",0.222222222222222
"2","1",4,"5",1
"2","1",5,"1",0.222222222222222
"2","1",6,"5",1
"2","1",7,"2",1
"2","1",8,"4",1
"2","1",9,"1",0.777777777777778
"2","1",10,"3",0.777777777777778
"2","1",11,"4",0.777777777777778
"2","1",12,"1",1
"2","1",13,"5",0.555555555555556
"2","1",14,"3",0.777777777777778
"2","1",15,"2",0.444444444444444
"2","1",16,"4",0.777777777777778
"2","1",17,"2",1
"2","1",18,"1",1
"2","1",19,"3",0.555555555555556
"2","1",20,"5",0.222222222222222
"2","1",21,"4",0.444444444444444
"2","1",22,"3",0.555555555555556
"2","1",23,"5",1
"2","1",24,"1",1
"2","1",25,"2",0.777777777777778
"2","1",26,"4",0.777777777777778
"2","1",27,"3",0.444444444444444
"2","1",28,"1",1
"2","1",29,"5",0.555555555555556
"2","1",30,"2",0.444444444444444
"3","1",1,"1",0.444444444444444
"3","1",2,"4",0.555555555555556
"3","1",3,"5",0.444444444444444
"3","1",4,"2",0.555555555555556
"3","1",5,"3",1
"3","1",6,"5",0.555555555555556
"3","1",7,"2",1
"3","1",8,"1",1
"3","1",9,"4",0.444444444444444
"3","1",10,"3",0.666666666666667
"3","1",11,"1",1
"3","1",12,"2",1
"3","1",13,"5",1
"3","1",14,"4",1
"3","1",15,"3",1
"3","1",16,"4",1
"3","1",17,"3",1
"3","1",18,"5",0.222222222222222
"3","1",19,"1",1
"3","1",20,"2",0.555555555555556
"3","1",21,"2",0.333333333333333
"3","1",22,"5",0.666666666666667
"3","1",23,"4",0.555555555555556
"3","1",24,"1",0.222222222222222
"3","1",25,"3",0.333333333333333
"3","1",26,"4",1
"3","1",27,"5",0.555555555555556
"3","1",28,"1",0.555555555555556
"3","1",29,"2",0.555555555555556
"3","1",30,"3",0.444444444444444
"4","1",1,"4",0.333333333333333
"4","1",2,"1",1
"4","1",3,"2",1
"4","1",4,"5",1
"4","1",5,"3",1
"4","1",6,"5",1
"4","1",7,"4",1
"4","1",8,"3",1
"4","1",9,"2",1
"4","1",10,"1",1
"4","1",11,"4",1
"4","1",12,"1",1
"4","1",13,"5",1
"4","1",14,"3",0.777777777777778
"4","1",15,"2",1
"4","1",16,"4",1
"4","1",17,"2",1
"4","1",18,"1",1
"4","1",19,"5",1
"4","1",20,"3",1
"4","1",21,"1",1
"4","1",22,"3",1
"4","1",23,"2",1
"4","1",24,"5",1
"4","1",25,"4",1
"4","1",26,"1",1
"4","1",27,"4",0.777777777777778
"4","1",28,"5",1
"4","1",29,"2",1
"4","1",30,"3",1
"5","1",1,"1",0.555555555555556
"5","1",2,"4",0.333333333333333
"5","1",3,"2",0.444444444444444
"5","1",4,"5",1
"5","1",5,"3",0.555555555555556
"5","1",6,"1",0.333333333333333
"5","1",7,"4",0.111111111111111
"5","1",8,"3",0.666666666666667
"5","1",9,"2",0.666666666666667
"5","1",10,"5",0.555555555555556
"5","1",11,"4",0.444444444444444
"5","1",12,"5",0.444444444444444
"5","1",13,"2",0.444444444444444
"5","1",14,"3",0.444444444444444
"5","1",15,"1",0
"5","1",16,"4",0.333333333333333
"5","1",17,"2",0.555555555555556
"5","1",18,"1",0.777777777777778
"5","1",19,"3",0.222222222222222
"5","1",20,"5",0.666666666666667
"5","1",21,"5",0.333333333333333
"5","1",22,"1",0.333333333333333
"5","1",23,"4",0.111111111111111
"5","1",24,"2",0.444444444444444
"5","1",25,"3",0.555555555555556
"5","1",26,"4",0.555555555555556
"5","1",27,"3",0.444444444444444
"5","1",28,"2",0.444444444444444
"5","1",29,"5",0.333333333333333
"5","1",30,"1",0.555555555555556
"6","1",1,"4",0.333333333333333
"6","1",2,"1",0.777777777777778
"6","1",3,"2",0.777777777777778
"6","1",4,"5",1
"6","1",5,"3",0.555555555555556
"6","1",6,"2",0.222222222222222
"6","1",7,"3",0.777777777777778
"6","1",8,"1",0.777777777777778
"6","1",9,"5",0.777777777777778
"6","1",10,"4",0.555555555555556
"6","1",11,"2",0.777777777777778
"6","1",12,"1",0.777777777777778
"6","1",13,"5",0.111111111111111
"6","1",14,"3",0.777777777777778
"6","1",15,"4",0.777777777777778
"6","1",16,"2",0.333333333333333
"6","1",17,"1",1
"6","1",18,"5",0.333333333333333
"6","1",19,"4",0.222222222222222
"6","1",20,"3",0.777777777777778
"6","1",21,"2",0.333333333333333
"6","1",22,"1",0.222222222222222
"6","1",23,"4",0.555555555555556
"6","1",24,"5",1
"6","1",25,"3",1
"6","1",26,"2",1
"6","1",27,"3",0.777777777777778
"6","1",28,"5",0.666666666666667
"6","1",29,"1",0.555555555555556
"6","1",30,"4",0.777777777777778
"7","1",1,"1",0.555555555555556
"7","1",2,"4",0.444444444444444
"7","1",3,"5",0.777777777777778
"7","1",4,"3",1
